Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
"What literary work is known for its intricate world-building, languages, and extensive appendices detailing the history of Middle-earth?",The Lord of the Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings,"It is one of the best-selling books ever written, with over 150 million copies sold.",It was first published over the course of a year from 29 July 1954 to 20 October 1955 in three volumes.,It is considered one of the greatest fantasy books ever written.,It was named Britain's best-loved novel of all time in a 2003 poll by the BBC called The Big Read.,It was written by the English author and scholar J. R. R. Tolkien.,2,4,5,3,1
"Name the Nintendo character that has transitioned from being a villain in early games to a protagonist in later titles, showcasing a more playful side.",Donkey Kong,https://en.wikipedia.org/wiki/Donkey_Kong,The character was designed by Shigeru Miyamoto in 1981 to salvage unsold arcade cabinets following the failure of Radar Scope (1980).,"He has a rivalry with King K. Rool, the leader of the Kremlings, who frequently tries to steal his banana hoard.","He is known for kidnapping a damsel in distress named Pauline, who must be rescued by Mario.","His weight is shown to be 800 pounds in a match against boxing champion ""Krusha"" K. Rool.","Under the supervision of Shigeru Miyamoto, former Rare character artist Kevin Bayliss redesigned the appearance of this character for the Super NES in 1994.",1,2,3,4,5
Identify the console that faced competition from the Sony PlayStation and the Sega Saturn during the fifth generation of video game consoles.,Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64,This console was released by a renowned Japanese company known for its iconic gaming franchises like Super Mario and The Legend of Zelda.,"One of its distinguishing features was the use of cartridges instead of CDs for game storage, setting it apart from its competitors.","The controller for this console introduced a unique design, featuring a central joystick and additional trigger buttons, which became influential in the gaming industry.",The console boasted innovative 3D graphics for its time and introduced classic games like Super Mario 64 and The Legend of Zelda: Ocarina of Time.,"Despite facing tough competition from Sony's PlayStation and Sega's Saturn, this console gained a dedicated fan base and left a lasting impact on the gaming community.",3,2,1,5,4
What actor has voiced characters in animated films like 'Cloudy with a Chance of Meatballs' and 'The Smurfs'?,Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,"The Primetime Emmy Awards was hosted by him in 2009 and 2013, and in 2015, he hosted the 87th Academy Awards.","He starred in the TV show ""How I Met Your Mother"" as Barney Stinson, a serial womanizer.","He has been married to David Burtka since 2014, and they have two children together.",He won the 2014 Tony Award for Best Leading Actor in a Musical for his title role in Hedwig and the Angry Inch.,"His debut young adult novel, The Magic Misfits, was released in November 2017 and is the first in a four-book series of the same name.",1,2,3,4,5
"Who is the author of the autobiography 'Long Walk to Freedom,'?",Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,A South African anti-apartheid activist and politician,He was the country's first black head of state and the first elected in a fully representative democratic election.,The first president of South Africa from 1994 to 1999,He studied law at the University of Fort Hare and the University of Witwatersrand before working as a lawyer in Johannesburg.,"He became involved in anti-colonial and African nationalist politics, joining the ANC in 1943 and co-founding its Youth League in 1944",2,3,1,5,4
Identify the chess prodigy who in 1958 became the youngest-ever Grandmaster at the age of 15.,Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer,He was an American chess grandmaster and the eleventh World Chess Champion.,he won his first of a record eight US Championships at the age of 14.,"In 1975, He refused to defend his title when an agreement could not be reached with FIDE, chess's international governing body, over the match conditions.","His book My 60 Memorable Games, published in 1969, is regarded as essential reading in chess literature.","He made numerous antisemitic statements, including Holocaust denial.",3,1,2,4,5
Identify the country that is home to the River Thames.,England,https://en.wikipedia.org/wiki/England,London is the capital of this country.,Birmingham is a city located in this country.,London Stock Exchange is located in this country.,University of Oxford is situated in this country.,"This country has ""Natural History Museum"".",1,2,3,4,5
What musician's album 'Bad' produced five consecutive No. 1 singles on the Billboard Hot 100 chart?,Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,"He is called the ""King of Pop"".","His famous move is ""moon walk"".",This musician has 39 Guinness World records.,His first wife is Lisa Marie Presley and second wife is Debbie Rowe.,"""Beat It"" is a song from his album ""Thriller"".",1,2,5,4,3
"Identify the club that has won La Liga, the top-tier Spanish football league, the second most times.",FC Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,"The motto of the club is ""Més que un club""",The club plays in dark shades of blue and garnet stripes.,The club's nickname is Blaugrana.,The club's manager is Xavi.,This club has a long-standing rivalry with Real Madrid.,1,4,2,5,3
Identify the group whose debut single 'Welcome to the Jungle' became an anthem of the 1980s rock scene.,Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses,This group is formed in 1985 during the merging of the bands Hollywood Rose and L.A. Guns.,Axl Rose is a member of this group.,"""Paradise City"" is one of the songs by this group.","""Appetite for Destruction"" is their debut album.","""Sweet Child o' Mine"" song is this group's single which topped the U.S Billboard hot100.",2,1,3,4,5
Who coined the term 'Satyagraha' to describe his philosophy of nonviolent resistance?,Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,"He was an Indian lawyer, anti-colonial nationalist and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule.",He inspired movements for civil rights and freedom across the world.,Born and raised in a Hindu family in coastal Gujarat.,"He was trained in the law at the Inner Temple, London, and was called to the bar at age 22 in June 1891","After two uncertain years in India, where he was unable to start a successful law practice, he moved to South Africa in 1893 to represent an Indian merchant in a lawsuit.",5,4,1,2,3
Name the Swedish striker who has a black belt in Taekwondo and is known for his martial arts-inspired goal celebrations.,Zlatan Ibrahimović,https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87,He is Sweden's all time highest goal scorer.,His nickname is Ibracadabra.,He is the fourth highest rated player in FIFA 15 video game.,His bicycle kick goal for Sweden against England won him FIFA Puskás Award.,Ajax teammate Mido threw scissors at him during an argument.,1,2,4,3,5
Where is the head quarters for the European Space Agency?,Paris,https://en.wikipedia.org/wiki/Paris,It is the fifth most populated city in the European Union.,It was the city with the ninth- highest cost of living in the world.,In the 19th century it became known as the City of Light.,It is situated on the Seine River in the  north of the country.,It is widely known as City of Love.,2,3,4,5,1
Which class of warriors emerged in the Heian period and gained prominence in the following centuries?,Samurai,https://en.wikipedia.org/wiki/Samurai,They were abolished in 1870s during Meiji era.,They wear daisho.,They were granted kiri-sute gomen.,This class of warriors emerged during Kamakura shogunate.,They are also called bushi.,1,3,4,5,2
Which continent is the highest in elevation?,Antarctica,https://en.wikipedia.org/wiki/Antarctica,Earth's southernmost and least-populated continent.,The first confirmed landing on the continental mass of this continent occurred in 1895.,"The continent which is the coldest, windiest, and driest of Earth's continents.","The ice shelves of this continent were probably first seen in 1820, during a Russian expedition.","The continent has an area of 14,200,000 sq km (5,500,000 sq mi).",1,5,3,4,2
